psr,ra,dec,project
B1855+09,4.9533700406872905,0.16848685702349792,['NANOGrav']
B1937+21,5.137724990300458,0.3746699489296828,['NANOGrav']
B1953+29,5.2073911951100005,0.5063559617810567,['NANOGrav']
J0023+0923,0.101583674173196,0.1638857145074726,['NANOGrav']
J0030+0451,0.13289432079350286,0.08484100938950805,"['EPTA', 'NANOGrav', 'PPTA']"
J0125-2327,0.3709606409676936,-0.40931913633806594,['PPTA']
J0340+4130,0.9616245386278515,0.7245313247510291,['NANOGrav']
J0406+3039,1.0757422095182474,0.5351490991332435,['NANOGrav']
J0437-4715,1.2098051141698614,-0.8247154566129203,"['NANOGrav', 'PPTA']"
J0509+0856,1.3498838842940857,0.15603754046707558,['NANOGrav']
J0557+1551,1.559993385736835,0.27637346457089285,['NANOGrav']
J0605+3757,1.5930160324684843,0.6625268522869155,['NANOGrav']
J0610-2100,1.615418679642372,-0.3666536265027705,['NANOGrav']
J0613-0200,1.630717529729069,-0.035135540179494974,"['EPTA', 'NANOGrav', 'PPTA']"
J0614-3329,1.6326353808179346,-0.5846566326757132,"['NANOGrav', 'PPTA']"
J0636+5128,1.7282285446591636,0.8985536683192249,['NANOGrav']
J0645+5158,1.77144251522478,0.9070618560388488,['NANOGrav']
J0709+0458,1.8724739699434827,0.08693453697674094,['NANOGrav']
J0711-6830,1.884532216709617,-1.195780001478993,['PPTA']
J0740+6620,2.0104588697498933,1.1578976368460991,['NANOGrav']
J0751+1807,2.055790988680243,0.31638206829799626,['EPTA']
J0900-3144,2.3593908501375878,-0.5540009328829402,"['EPTA', 'PPTA']"
J0931-1902,2.492847678442924,-0.3324610390388199,['NANOGrav']
J1012+5307,2.6727854017976727,0.9270718728761709,"['EPTA', 'NANOGrav']"
J1012-4235,2.671294587381074,-0.7434782383731864,['NANOGrav']
J1017-7156,2.695902040862265,-1.2556751895285116,['PPTA']
J1022+1001,2.7182049202000744,0.17507998217072437,"['EPTA', 'NANOGrav', 'PPTA']"
J1024-0719,2.7255261870671914,-0.1277941412078163,"['EPTA', 'NANOGrav', 'PPTA']"
J1045-4509,2.8179927981624235,-0.7882784126770903,['PPTA']
J1125+7819,2.993230998705023,1.367119883629176,['NANOGrav']
J1125-6014,2.992892453761813,-1.051302420037261,['PPTA']
J1312+0051,3.45914309670349,0.014835414689951877,['NANOGrav']
J1446-4701,3.868501208657441,-0.8207255962187933,['PPTA']
J1453+1902,3.8997724107512948,0.332252863389328,['NANOGrav']
J1455-3330,3.9086626685885335,-0.5849101575263408,"['EPTA', 'NANOGrav']"
J1545-4550,4.127408727368509,-0.8001246578872474,['PPTA']
J1600-3053,4.1925647217959465,-0.5392552305668821,"['EPTA', 'NANOGrav', 'PPTA']"
J1603-7202,4.204474286925205,-1.2573778057450735,['PPTA']
J1614-2230,4.252531627421936,-0.3928511840234613,['NANOGrav']
J1630+3734,4.322342192879536,0.6558654167226273,['NANOGrav']
J1640+2224,4.364540849887687,0.39099661548921144,"['EPTA', 'NANOGrav']"
J1643-1224,4.3791883557285605,-0.2167054254645159,"['NANOGrav', 'PPTA']"
J1705-1903,4.4755949828000405,-0.33268611584880686,['NANOGrav']
J1713+0747,4.510914948616098,0.1360265625991374,"['EPTA', 'NANOGrav', 'PPTA']"
J1719-1438,4.5342254424449555,-0.25540487406430185,['NANOGrav']
J1730-2304,4.583065055295614,-0.4027403661925809,"['EPTA', 'NANOGrav', 'PPTA']"
J1738+0333,4.620320417807826,0.06201189811884382,"['EPTA', 'NANOGrav']"
J1741+1351,4.631750649461279,0.2419417239714041,"['NANOGrav', 'PPTA']"
J1744-1134,4.644714387529381,-0.20214158205644128,"['EPTA', 'NANOGrav', 'PPTA']"
J1745+1017,4.649399919694822,0.17973213335086188,['NANOGrav']
J1747-4036,4.6592085175043465,-0.7088694996409632,['NANOGrav']
J1751-2857,4.67549658963738,-0.5054983497672787,"['EPTA', 'NANOGrav']"
J1801-1417,4.72046646435609,-0.24945859206995055,['EPTA']
