psr,NOW p [mas],NOW +σp [mas],NOW -σp [mas],NOW d [pc],NOW +σd [pc],NOW -σd [pc],SKA p [mas],SKA +σp [mas],SKA -σp [mas],SKA d [pc],SKA +σd [pc],SKA -σd [pc]
J0437-4715,6.396,0.054,0.054,156.348,1.331,1.309,6.396,0.015,0.015,156.348,0.368,0.366
J0030+0451,3.020,0.070,0.070,331.126,7.857,7.501,3.020,0.015,0.015,331.126,1.653,1.637
J1730-2304,1.570,0.180,0.180,636.943,82.482,65.514,1.570,0.015,0.015,636.943,6.144,6.028
J1643-1224,1.310,0.170,0.180,763.359,121.597,87.683,1.310,0.015,0.015,763.359,8.842,8.642
J1518+4904,1.238,0.036,0.036,807.754,24.192,22.825,1.238,0.015,0.015,807.754,9.907,9.670
J1012+5307,1.170,0.040,0.050,854.701,38.156,28.255,1.170,0.015,0.015,854.701,11.100,10.819
J1537+1155,1.060,0.110,0.100,943.396,98.270,88.695,1.060,0.015,0.015,943.396,13.542,13.164
J1024-0719,0.940,0.060,0.060,1063.830,72.534,63.830,0.940,0.015,0.015,1063.830,17.251,16.709
J0621+1002,0.860,0.150,0.150,1162.791,245.660,172.692,0.860,0.015,0.015,1162.791,20.641,19.934
J0610-2100,0.730,0.100,0.100,1369.863,217.439,165.044,0.730,0.015,0.015,1369.863,28.738,27.581
J1640+2224,0.680,0.080,0.080,1470.588,196.078,154.799,0.680,0.015,0.015,1470.588,33.171,31.739
J1918-0642,0.600,0.120,0.120,1666.667,416.667,277.778,0.600,0.015,0.015,1666.667,42.735,40.650
J1738+0333,0.500,0.060,0.060,2000.000,272.727,214.286,0.500,0.015,0.015,2000.000,61.856,58.252
J1853+1303,0.490,0.070,0.070,2040.816,340.136,255.102,0.490,0.015,0.015,2040.816,64.447,60.618
J1939+2134,0.384,0.048,0.046,2604.167,354.413,289.352,0.384,0.015,0.015,2604.167,105.860,97.901
J1911-1114,0.380,0.130,0.140,2631.579,1535.088,670.795,0.380,0.015,0.015,2631.579,108.147,99.933
J1910+1256,0.254,0.035,0.035,3937.008,629.202,476.800,0.254,0.015,0.015,3937.008,247.093,219.536
